type,theme,count,percent,percent_count,dcat_theme_new
Federal,ACF,82,0.1179397931738748,0.12% (82),
Federal,ACRIM III,2,0.002876580321314,0.00% (2),
Federal,ACRIMII,1,0.001438290160657,0.00% (1),
Federal,ACRP,11,0.0158211917672271,0.02% (11),
Federal,ACT-America,16,0.0230126425705121,0.02% (16),
Federal,ACTIVATE,12,0.0172594819278841,0.02% (12),
Federal,AGLANDS,2,0.002876580321314,0.00% (2),
Federal,AIAN Veterans,1,0.001438290160657,0.00% (1),
Federal,AIRMISR,15,0.0215743524098551,0.02% (15),
Federal,AIRMOSS,1,0.001438290160657,0.00% (1),
Federal,AIRMSPI,18,0.0258892228918262,0.03% (18),
Federal,AJAX,4,0.005753160642628,0.01% (4),
Federal,AMI,1,0.001438290160657,0.00% (1),
Federal,AMSR-E/AMSR2 Unified Data,2,0.002876580321314,0.00% (2),
Federal,ANTHROMES,5,0.007191450803285,0.01% (5),
Federal,API,14,0.0201360622491981,0.02% (14),
Federal,AQDH,10,0.0143829016065701,0.01% (10),
Federal,AQUA,15,0.0215743524098551,0.02% (15),
Federal,AQUARIUS SAC-D,185,0.266083679721547,0.27% (185),
Federal,ARB,1,0.001438290160657,0.00% (1),
Federal,ARCTAS,21,0.0302040933737972,0.03% (21),
Federal,ARCTAS_2008,6,0.008629740963942,0.01% (6),
Federal,ARESE,1,0.001438290160657,0.00% (1),
Federal,ARISE,5,0.007191450803285,0.01% (5),
Federal,ASCENDS Airborne,5,0.007191450803285,0.01% (5),
Federal,ASPR,1,0.001438290160657,0.00% (1),
Federal,ATDD,30,0.0431487048197103,0.04% (30),
Federal,ATLAS,2,0.002876580321314,0.00% (2),
Federal,ATOMIC,1,0.001438290160657,0.00% (1),
Federal,ATTREX,5,0.007191450803285,0.01% (5),
Federal,ATom,55,0.0791059588361356,0.08% (55),
Federal,AVHRR 1-KM PATHFINDER,1,0.001438290160657,0.00% (1),
Federal,AVIRIS,5,0.007191450803285,0.01% (5),
Federal,Accelerating Access,80,0.1150632128525608,0.12% (80),
Federal,Access control,1,0.001438290160657,0.00% (1),
City,"Accommodation, Hospitality Industry",1,0.0046877929870616,0.00% (1),Health and Safety
State,Accountable Government Act,285,0.9406251031387176,0.94% (285),"Public Service, Politics, and Governance"
